,user_id,gender,age,occupation,zip,movie_id,rating,timestamp,title,genres,for_testing
758856,5567,M,50,3,78704,2915,4,959349063,Risky Business (1983),Comedy,False
345912,2050,F,35,3,99504,1959,3,975522916,Out of Africa (1985),Drama|Romance,False
424866,3578,M,50,3,96714,1252,5,966711654,Chinatown (1974),Film-Noir|Mystery|Thriller,False
538336,2995,M,25,15,97333,2021,4,970683967,Dune (1984),Fantasy|Sci-Fi,False
886049,1285,M,35,4,98125,3617,5,974792837,Road Trip (2000),Comedy,False
148782,1205,F,56,0,46814,3809,4,974845998,What About Bob? (1991),Comedy,False
975916,4169,M,50,0,66048,2630,4,985827618,Besieged (L' Assedio) (1998),Drama,False
907448,4931,M,50,17,90031,2147,2,962652650,"Clan of the Cave Bear, The (1986)",Drama,False
854472,5273,M,56,20,91030,3628,3,961112421,Flying Tigers (1942),Action|Drama|War,False
509605,4287,M,25,7,35244,2000,5,965277593,Lethal Weapon (1987),Action|Comedy|Crime|Drama,False
600236,2629,M,25,11,15237,762,2,973626998,Striptease (1996),Comedy|Crime,False
853771,3885,M,25,12,92728,3519,4,973715937,Force 10 from Navarone (1978),Action|War,False
386075,3269,F,18,20,45220,2324,5,968199057,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama,False
437027,509,M,25,2,55125,1339,4,976209492,Bram Stoker's Dracula (1992),Horror|Romance,False
562399,4950,M,25,16,55421,1288,3,962946210,This Is Spinal Tap (1984),Comedy|Drama|Musical,False
905795,4354,M,35,14,78611,2184,5,966752385,"Trouble with Harry, The (1955)",Mystery|Thriller,False
155476,4062,M,25,7,60559,165,3,965482297,Die Hard: With a Vengeance (1995),Action|Thriller,False
889590,2663,F,25,4,02215,3067,4,973459495,Women on the Verge of a Nervous Breakdown (1988),Comedy|Drama,False
45423,3754,M,56,7,94612,1962,4,966119454,Driving Miss Daisy (1989),Drama,False
666445,1029,M,25,0,20015,2248,3,975004163,Say Anything... (1989),Comedy|Drama|Romance,False
450232,1004,M,25,3,95136,316,4,975040514,Stargate (1994),Action|Adventure|Sci-Fi,False
